iter	Passed	Remaining
808	1532	361
809	1534	359
810	1536	358
811	1538	356
812	1540	354
813	1541	352
814	1543	350
815	1544	348
816	1546	346
817	1548	344
818	1549	342
819	1550	340
820	1552	338
821	1553	336
822	1555	334
823	1556	332
824	1557	330
825	1559	328
826	1560	326
827	1561	324
828	1562	322
829	1564	320
830	1566	318
831	1568	316
832	1570	314
833	1572	312
834	1573	310
835	1574	308
836	1576	307
837	1578	305
838	1579	303
839	1580	301
840	1582	299
841	1584	297
842	1585	295
843	1586	293
844	1587	291
845	1588	289
846	1590	287
847	1591	285
848	1592	283
849	1593	281
850	1594	279
851	1596	277
852	1597	275
853	1597	273
854	1598	271
855	1599	269
856	1600	267
857	1601	265
858	1602	263
859	1604	261
860	1606	259
861	1607	257
862	1608	255
863	1609	253
864	1610	251
865	1611	249
866	1612	247
867	1613	245
868	1614	243
869	1615	241
870	1616	239
871	1617	237
872	1619	235
873	1620	233
874	1620	231
875	1622	229
876	1623	227
877	1624	225
878	1625	223
879	1625	221
880	1626	219
881	1627	217
882	1628	215
883	1629	213
884	1630	211
885	1632	210
886	1633	208
887	1634	206
888	1635	204
889	1636	202
890	1637	200
891	1638	198
892	1640	196
893	1641	194
894	1643	192
895	1644	190
896	1645	188
897	1646	187
898	1648	185
899	1650	183
900	1651	181
901	1653	179
902	1655	177
903	1657	175
904	1658	174
905	1660	172
906	1661	170
907	1663	168
908	1665	166
909	1666	164
910	1668	162
911	1669	161
912	1670	159
913	1671	157
914	1673	155
915	1674	153
916	1675	151
917	1676	149
918	1677	147
919	1678	145
920	1679	144
921	1680	142
922	1681	140
923	1682	138
924	1683	136
925	1684	134
926	1685	132
927	1686	130
928	1687	128
929	1688	127
930	1690	125
931	1691	123
932	1692	121
933	1694	119
934	1695	117
935	1697	116
936	1698	114
937	1699	112
938	1701	110
939	1702	108
940	1703	106
941	1704	104
942	1706	103
943	1707	101
944	1708	99
945	1709	97
946	1710	95
947	1712	93
948	1712	92
949	1713	90
950	1714	88
951	1715	86
952	1716	84
953	1718	82
954	1719	81
955	1721	79
956	1722	77
957	1723	75
958	1725	73
959	1726	71
960	1728	70
961	1729	68
962	1730	66
963	1731	64
964	1732	62
965	1734	61
966	1735	59
967	1736	57
968	1737	55
969	1738	53
970	1739	51
971	1741	50
972	1742	48
973	1744	46
974	1745	44
975	1746	42
976	1747	41
977	1748	39
978	1750	37
979	1751	35
980	1753	33
981	1754	32
982	1756	30
983	1758	28
984	1760	26
985	1761	25
986	1763	23
987	1765	21
988	1767	19
989	1768	17
990	1770	16
991	1771	14
992	1773	12
993	1774	10
994	1775	8
995	1776	7
996	1778	5
997	1780	3
998	1781	1
999	1782	0
